analyte,anzecc_reliability,anzecc_data_type,ssd_available,no_ssd_reason,acr,anzecc_hc_percentile,trigger_divisor,n_min_override,fit_dist,dgv_99pct_ug_L,dgv_95pct_ug_L,dgv_90pct_ug_L,dgv_80pct_ug_L,dgv_conditions,observations_analyte,data_source,source_doc,source_page,notes,coanalytes_required,normalisation_formula,moa_group
NH3-N,HR,chronic_NOEC,TRUE,NA,NA,5,1,NA,multi,320,900,1430,2300,"pH 7.0, 20°C, total ammonia-N; apply pH/temp correction externally",NA,ANZG_XLSX,ammonia-fresh-dgvs-data-entry.xlsx,NA,ANZG 2026 technical brief. Col 55 'Lowest value per species' (mg NH3-N/L converted µg/L).,"pH,temperature",C * (1 / (1 + 10^(0.09018 + 2729.92 / (20 + 273.15) - 7.0))) / (1 / (1 + 10^(0.09018 + 2729.92 / (temperature + 273.15) - pH))),ionoregulatory
NO3-N_soft,HR,chronic_NOEC,TRUE,NA,NA,5,1,NA,lgumbel,640,1100,1500,2300,Soft water (< 30 mg/L CaCO3); ANZG 2025 DGVs (µg NO3-N/L),NA,ANZG_XLSX,nitrate-fresh-dgvs-data-entry.xlsx,NA,ANZG 2025 technical brief. 14 species soft-water SSD; ANZG used inverse Weibull (Burrlioz) = lgumbel in ssdtools (same distributional family). DGVs: 99%=640 95%=1100 90%=1500 80%=2300 µg/L.,NA,NA,ionoregulatory
NO3-N_mod,HR,chronic_NOEC,TRUE,NA,NA,5,1,NA,burrIII3,1000,2600,4200,7100,Moderately hard water (30-150 mg/L CaCO3); ANZG 2025 DGVs (µg NO3-N/L),NA,ANZG_XLSX,nitrate-fresh-dgvs-data-entry.xlsx,NA,ANZG 2025 technical brief. 11 species moderately-hard-water SSD; ANZG used Burr Type III. DGVs: 99%=1000 95%=2600 90%=4200 80%=7100 µg/L.,NA,NA,ionoregulatory
NO3-N_hard,HR,chronic_NOEC,TRUE,NA,NA,5,1,NA,lgumbel,18000,29000,38000,56000,Hard water (> 150 mg/L CaCO3); ANZG 2025 DGVs (µg NO3-N/L),NA,ANZG_XLSX,nitrate-fresh-dgvs-data-entry.xlsx,NA,ANZG 2025 technical brief. 12 species hard-water SSD; ANZG used inverse Weibull (Burrlioz) = lgumbel in ssdtools (same distributional family). DGVs: 99%=18000 95%=29000 90%=38000 80%=56000 µg/L.,NA,NA,ionoregulatory
B,HR,chronic_NOEC,TRUE,NA,NA,5,1,NA,burrIII3,340,940,1500,2500,µg B/L (column labelled µg/L but values actually mg/L — converted ×1000),NA,ANZG_XLSX,boron_fresh_dgv_data-entry_final.xlsx,NA,ANZG 2021 technical brief. DGVs in guidelineDF are ANZECC 2000 values; ANZG 2021 dataset larger.,NA,NA,ionoregulatory
Cr,HR,chronic_NOEC,TRUE,NA,NA,5,1,NA,multi,0.95,6.7,16,39,µg Cr(III)/L; freshwater only; no hardness correction,NA,ANZG_XLSX,chromium-III-fresh-dgvs-data-entry.xlsx,NA,ANZG 2026 technical brief. ANZG 2026 DGVs confirmed (99%=0.95 95%=6.7 90%=16 80%=39 µg/L); supersede ANZECC 2000 Cr(total) values (0.01/0.4/1.8/40).,NA,NA,ionoregulatory
Cu,HR,chronic_NOEC,TRUE,NA,NA,5,1,NA,burrIII3,0.2,0.47,0.73,1.3,µg Cu/L at DOC=0.5 mg/L reference condition,NA,ANZG_XLSX,copper-fresh-dgvs-data-entry.xlsx,NA,ANZG 2023 draft technical brief. DGVs are ANZG 2023 values from DGVs sheet at DOC=0.5 mg/L index condition.,DOC,"C * (0.5 / pmax(0.5, pmin(30, DOC)))^0.977",ionoregulatory
Ni,HR,chronic_NOEC,TRUE,NA,NA,5,1,NA,burrIII3,0.31,2,4.6,10,µg Ni/L; raw concentrations (no BLM/pH correction),NA,ANZG_XLSX,nickel-fresh-dgvs-data-entry.xlsx,NA,ANZG 2024 draft technical brief. ANZG 2024 DGVs confirmed (99%=0.31 95%=2.0 90%=4.6 80%=10 µg/L); ANZECC 2000 values were 8/11/13/17 µg/L.,"pH,DOC,Ca,Mg","C * exp((2.09*log(0.5) + 0.19*log(6) + 0.40*log(4) - 0.40*7.5 - 0.24*log(0.5)*7.5) - (2.09*log(pmax(0.5, pmin(20, DOC))) + 0.19*log(pmax(2,   pmin(70, Ca))) + 0.40*log(pmax(1.6, pmin(54, Mg))) - 0.40*pmax(6.0, pmin(8.5, pH)) - 0.24*log(pmax(0.5, pmin(20, DOC)))*pmax(6.0, pmin(8.5, pH))))",ionoregulatory
Zn,HR,chronic_NOEC,TRUE,NA,NA,5,1,NA,burrIII3,1.5,4.1,6.8,12,"µg Zn/L at reference conditions (hardness 30 mg/L, pH 7.5, DOC 0.5 mg/L) from MLR model",NA,ANZG_XLSX,zinc-fresh-dgvs-data-entry.xlsx,NA,"ANZG 2024 draft. ForWordDoc sheet, MLR-normalised Predicted EC10. ANZG 2024 DGVs confirmed (99%=1.5 95%=4.1 90%=6.8 80%=12 µg/L); ANZECC 2000 values were 2.4/8/15/31 µg/L.","pH,hardness,DOC","C * exp((-0.52*7.5 + 0.31*log(30) - 1.4*log(0.5) + 0.24*log(0.5)*7.5) - (-0.52*pmax(6.2, pmin(8.3, pH)) + 0.31*log(pmax(20,  pmin(440, hardness))) - 1.4*log(pmax(0.5,  pmin(15,  DOC))) + 0.24*log(pmax(0.5, pmin(15,  DOC)))*pmax(6.2, pmin(8.3, pH))))",ionoregulatory
Al,MR,acute_LC50,TRUE,NA,8.17,5,8.17,NA,burrIII3,27,55,80,150,µg Al/L; pH>6.5; separate LR DGV for pH<6.5 (0.8 µg/L) not modelled here,Al,Warne2000,toxicant-trigger-value-derivation_0.pdf,2,ACR=8.17 from Warne 2000 p.2 (all combined species). TV=HC5/ACR=439.97/8.17=53.8≈55 µg/L.,NA,NA,ionoregulatory
As(III),HR,chronic_NOEC,TRUE,NA,NA,5,1,NA,burrIII3,1,24,94,360,<c2><b5>g As(III)/L freshwater; redox-sensitive <e2><80><94> arsenite predominates in reducing conditions,As(III),Warne2000,toxicant-trigger-value-derivation_0.pdf,3,Warne 2000 p.3 HR calculations. TV=Burr HC5 50%=24 <c2><b5>g/L. DGVs: 99%=1 95%=24 90%=94 80%=360 <c2><b5>g/L. Previous metadata erroneously stored As(V) DGVs against As(III) data.,NA,NA,ionoregulatory
As(V),HR,chronic_NOEC,TRUE,NA,NA,5,1,NA,burrIII3,0.8,13,42,140,<c2><b5>g As(V)/L freshwater; arsenate predominates in oxygenated surface water,As(V),Warne2000,toxicant-trigger-value-derivation_0.pdf,4,"Warne 2000 p.4 HR calculations. TV=Burr HC5 50%=12.5 <c2><b5>g/L. DGVs: 99%=0.8 95%=13 90%=42 80%=140 <c2><b5>g/L. 10 observations; low values (9.8, 22.6 <c2><b5>g/L) are corrected algal acute data.",NA,NA,ionoregulatory
As,HR,chronic_NOEC,FALSE,"No single SSD for unspeciated As; use As(V) SSD (conservative default, oxygenated conditions) or As(III) SSD (reducing conditions)",NA,5,1,NA,NA,0.8,13,42,140,<c2><b5>g As/L total dissolved; DGVs shown are As(V) values (conservative default). Speciate where possible.,NA,Warne2000,toxicant-trigger-value-derivation_0.pdf,3,Unspeciated As: defaults to As(V) SSD (conservative for oxygenated waters). Use As(III) SSD for confirmed reducing/anaerobic conditions (leachate source zone). DGVs listed are the As(V) values.,NA,NA,ionoregulatory
Cd,HR,chronic_NOEC,TRUE,NA,NA,5,1,NA,burrIII3,0.06,0.2,0.4,0.8,µg Cd/L; hardness 30 mg/L CaCO3,Cd,Warne2000,toxicant-trigger-value-derivation_0.pdf,6,HC5 within 2× of published DGV. Fitting method difference (Burr III vs ssdtools) accounts for residual.,hardness,C * (30 / hardness)^0.8,ionoregulatory
Pb,HR,chronic_NOEC,TRUE,NA,NA,5,1,NA,burrIII3,1,3.4,5.6,9.4,µg Pb/L,Pb,Warne2000,toxicant-trigger-value-derivation_0.pdf,12,n=8; HC5 within 20% of published. Good extraction.,hardness,C * (30 / hardness)^1.0,ionoregulatory
Mn,MR,acute_LC50,TRUE,NA,9.1,5,9.1,NA,burrIII3,1200,1900,2500,3600,µg Mn/L,Mn,Warne2000,toxicant-trigger-value-derivation_0.pdf,13,HC5 within 30% of expected. Good extraction.,NA,NA,ionoregulatory
Hg,HR,chronic_NOEC,TRUE,NA,NA,5,1,NA,burrIII3,0.06,0.6,1.9,5.4,µg total inorganic Hg/L,Hg,Warne2000,toxicant-trigger-value-derivation_0.pdf,14,HC5 ~1.9× published (fitting method difference expected). Good extraction.,NA,NA,ionoregulatory
Se,HR,chronic_NOEC,TRUE,NA,NA,1,1,5,burrIII3,5,11,18,34,µg total Se/L (Se IV + Se VI),Se,Warne2000,toxicant-trigger-value-derivation_0.pdf,16-17,n=5 including outlier (16500.62 µg/L). Warne kept outlier — removing it leaves n=4 < minimum. Bioaccumulation (log Kow >4): ANZECC adopted HC1 (not HC5) as main TV. n_min_override=5.,NA,NA,ionoregulatory
g-BHC,MR,acute_LC50,TRUE,NA,25.1,5,25.1,NA,burrIII3,0.07,0.2,0.4,1,µg lindane (γ-BHC)/L,g-BHC_acute,Warne2000,toxicant-trigger-value-derivation_0.pdf,131-132,ANZECC adopted MR TV (acute SSD ÷ ACR=25.10) over HR TV (chronic HC5=0.9 µg/L) as HR did not protect against acute toxicity. Both chronic and acute datasets in observations CSV. observations_analyte='g-BHC_acute' for ANZECC-matching fit.,NA,NA,NA
Dieldrin,LR,acute_LC50,FALSE,LR (AF=100) — ANZECC did not derive SSD; assessment factor applied to lowest acute value,NA,5,100,NA,NA,NA,NA,0.01,NA,µg dieldrin/L,Dieldrin,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,ANZECC classified LR. Observations CSV contains 7 values used in an exploratory SSD fit for reference only — not an ANZECC-endorsed model.,NA,NA,NA
Endrin,MR,acute_LC50,TRUE,NA,10,5,10,NA,burrIII3,0.01,0.02,0.04,0.06,µg endrin/L,Endrin,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,HC5 within 4% of expected. Extraction confirmed accurate.,NA,NA,NA
