analyte,value_ug_L,species_id
B,40620.192023179814,Anaxyrus fowleri
B,16647.165801151266,Carassius auratus
B,5600,Ceriodaphnia dubia
B,4000,Cirrhinus mrigala
B,10000,Cyclotella sp
B,1800,Danio rerio
B,2449.4897427831775,Daphnia magna
B,6100,Egeria densa
B,6600,Hyalella azteca
B,13820.846460022367,Ictalurus punctatus
B,10000,Lampsilis siliquoidea
B,1400,Lemna disperma
B,102000,Melanotaenia spledida
B,6000,Micropteris salmoides
B,600,Navicula sp 1.
B,1000,Navicula sp. 2
B,10000,Nostoc punctiforme 2
B,6214.465011907717,Oncorhynchus mykiss
B,11000,Pimephales promelas
B,4900,Potamogeton ochreatus
B,2800,Pseudokirchneriella subcapitata
B,29187.59134917345,Rana pipiens
Cr,82.01463284073154,Brachionus calyciflorus Gainesville strain
Cr,410,Carassius auratus
Cr,10,Chlorella kessleri
Cr,330,Daphnia magna
Cr,324,Daphnia similis
Cr,557.2,Dictyosphaerium chlorelloides
Cr,127.9,Lecane quadridentata
Cr,746,Lepomis macrochirus
Cr,48,Oncorhynchus mykiss
Cr,507,Pimephales promelas
Cr,333,Poecilia reticulata
Cr,3.4,Pseudokirchneriella subcapitata
Cr,19,Spirostomum ambiguum
Cu,1.12,Acipenser transmontanus
Cu,1.2,Alathyria profuga
Cu,1.4019700793850802,Amerianna cumingi
Cu,2.1316979354784773,Brachionus calyciflorus
Cu,3.5608080898035945,Ceriodaphnia dubia
Cu,16.9,Chironomus riparius
Cu,22,Chlamydomonas reinhardtii
Cu,0.89,Chlorella sp. (PNG)
Cu,0.3935354608800225,Chlorella sp. (eriss)
Cu,6.89938468694847,Chlorella vulgaris
Cu,100,Cirrhinus mrigala
Cu,3.711239141753897,Clistorina magnifica
Cu,8.514693182963201,Cottus bairdi
Cu,0.74,Cucumerunio novaehollandiae
Cu,23,Cyprinella monacha
Cu,24,Daphnia ambigua
Cu,15.252868582663394,Daphnia longispina
Cu,4.492192078826364,Daphnia magna
Cu,5.417112407355084,Daphnia thomsoni
