analyte,anzecc_reliability,data_type,acr_applied,our_hc1_ug_L,our_hc5_ug_L,our_hc10_ug_L,our_hc20_ug_L,dgv_99pct_ug_L,dgv_95pct_ug_L,dgv_90pct_ug_L,dgv_80pct_ug_L,ratio_hc1_vs_99pct,ratio_hc5_vs_95pct,ratio_hc10_vs_90pct,ratio_hc20_vs_80pct,bap_hc1_div10_ug_L,bap_ratio_vs_dgv90,flag
As,HR,chronic_NOEC,NA,25.14019,78.27581,143.41087,298.53783,0.8,13,42,140,31.425,6.021,3.415,2.132,NA,NA,DATA_ISSUE_check_Warne_p3
B,HR,chronic_NOEC,NA,409.66648,916.01301,1406.70635,2364.83224,340,940,1500,2500,1.205,0.974,0.938,0.946,NA,NA,ANZG_vs_ANZECC2000_by_design
Cd,HR,chronic_NOEC,NA,0.01977,0.11517,0.2947,0.91938,0.06,0.2,0.4,0.8,0.329,0.576,0.737,1.149,NA,NA,ok
Chlorpyrifos,HR,chronic_NOEC,NA,0.01564,0.04098,0.06849,0.12755,4e-5,0.01,0.11,1.2,390.991,4.098,0.623,0.106,NA,NA,fitting_method_lnorm_vs_BurrIII
Cr,HR,chronic_NOEC,NA,2.54202,7.85084,14.32165,29.65766,0.01,0.4,1.8,40,254.202,19.627,7.956,0.741,NA,NA,ANZG_vs_ANZECC2000_by_design
Cu,HR,chronic_NOEC,NA,0.13539,0.37977,0.65811,1.28071,1,1.4,1.8,2.5,0.135,0.271,0.366,0.512,NA,NA,ANZG_vs_ANZECC2000_by_design
Hg,HR,chronic_NOEC,NA,0.4621,1.26151,2.1548,4.12064,0.06,0.6,1.9,5.4,7.702,2.103,1.134,0.763,NA,NA,fitting_method_lnorm_vs_BurrIII
NH3-N,HR,chronic_NOEC,NA,360.64893,942.15083,1571.95704,2921.81734,320,900,1430,2300,1.127,1.047,1.099,1.27,NA,NA,ANZG_vs_ANZECC2000_by_design
NO3-N,HR,chronic_NOEC,NA,344.36187,1290.19351,2608.91604,6120.20968,1000,2400,3800,6900,0.344,0.538,0.687,0.887,NA,NA,ANZG_vs_ANZECC2000_by_design
Ni,HR,chronic_NOEC,NA,0.2644,1.00346,2.04309,4.83284,8,11,13,17,0.033,0.091,0.157,0.284,NA,NA,ANZG_vs_ANZECC2000_by_design
